Problem,Order,High,Phigh,Low,Medium,Choice
23.0,14.0,7.3,0.8,-3.6,5.6,1.0
11.0,15.0,-1.2,0.02,-12.3,-12.1,1.0
3.0,16.0,-6.3,0.3,-15.2,-12.2,0.0
15.0,17.0,-8.9,0.08,-26.3,-25.4,1.0
13.0,18.0,-2.0,0.05,-10.4,-9.4,1.0
27.0,19.0,1.6,0.93,-8.3,1.2,0.0
20.0,20.0,-4.3,0.6,-16.1,-4.5,0.0
56.0,21.0,26.5,0.94,8.3,25.2,0.0
39.0,22.0,7.4,0.3,-8.2,-6.9,1.0
42.0,23.0,17.9,0.92,7.2,17.1,0.0
38.0,24.0,6.7,0.07,-6.2,-5.1,1.0
53.0,25.0,25.7,0.1,8.1,11.5,1.0
12.0,26.0,-5.4,0.94,-16.8,-6.4,0.0
41.0,27.0,18.8,0.8,7.6,15.5,1.0
29.0,28.0,7.9,0.92,-2.3,7.0,1.0
18.0,29.0,-4.0,0.2,-9.3,-8.1,1.0
51.0,30.0,13.1,0.94,3.8,12.8,0.0
49.0,31.0,13.4,0.5,3.8,9.9,0.0
25.0,32.0,7.4,0.02,-6.6,-6.4,1.0
48.0,33.0,18.2,0.98,6.9,18.1,0.0
33.0,34.0,7.3,0.96,-8.5,6.8,1.0
17.0,35.0,-9.7,0.1,-24.7,-23.8,1.0
22.0,36.0,9.6,0.91,-6.4,8.7,0.0
45.0,37.0,2.8,0.8,1.0,2.2,1.0
26.0,38.0,6.4,0.05,-5.3,-4.9,1.0
40.0,39.0,6.0,0.98,-1.3,5.9,0.0
34.0,40.0,1.3,0.05,-4.3,-4.1,1.0
9.0,41.0,-5.7,0.95,-16.3,-6.1,0.0
36.0,42.0,5.0,0.08,-9.1,-7.9,1.0
35.0,43.0,3.0,0.93,-7.2,2.2,1.0
46.0,44.0,17.1,0.1,6.9,8.0,0.0
32.0,45.0,6.7,0.93,-5.0,5.6,1.0
31.0,46.0,6.7,0.95,-1.8,6.4,0.0
24.0,47.0,9.2,0.05,-9.5,-7.5,0.0
58.0,48.0,20.8,0.99,8.9,20.7,1.0
50.0,49.0,5.8,0.04,2.7,2.8,0.0
2.0,50.0,-0.9,0.95,-4.2,-1.0,1.0
10.0,51.0,-1.5,0.92,-6.4,-1.8,1.0
44.0,52.0,10.0,0.96,1.7,9.9,1.0
4.0,53.0,-10.0,0.2,-29.2,-25.6,1.0
60.0,54.0,8.0,0.92,0.8,7.7,1.0
43.0,55.0,22.9,0.06,9.6,9.2,1.0
16.0,56.0,-7.1,0.07,-19.6,-18.7,1.0
6.0,57.0,-6.3,0.99,-15.7,-6.4,1.0
59.0,58.0,10.1,0.3,4.2,6.0,1.0
57.0,59.0,11.5,0.6,3.7,7.9,1.0
8.0,60.0,-0.7,0.1,-6.5,-6.0,1.0
1.4,,,,,,
44.0,1.0,10.0,0.96,1.7,9.9,1.0
51.0,2.0,13.1,0.94,3.8,12.8,0.0
25.0,3.0,7.4,0.02,-6.6,-6.4,1.0
45.0,4.0,2.8,0.8,1.0,2.2,0.0
4.0,5.0,-10.0,0.2,-29.2,-25.6,1.0
41.0,6.0,18.8,0.8,7.6,15.5,1.0
36.0,7.0,5.0,0.08,-9.1,-7.9,1.0
47.0,8.0,24.3,0.04,9.7,10.6,0.0
34.0,9.0,1.3,0.05,-4.3,-4.1,1.0
32.0,10.0,6.7,0.93,-5.0,5.6,0.0
38.0,11.0,6.7,0.07,-6.2,-5.1,1.0
49.0,12.0,13.4,0.5,3.8,9.9,0.0
6.0,13.0,-6.3,0.99,-15.7,-6.4,0.0
22.0,14.0,9.6,0.91,-6.4,8.7,0.0
26.0,15.0,6.4,0.05,-5.3,-4.9,1.0
58.0,16.0,20.8,0.99,8.9,20.7,0.0
28.0,17.0,5.9,0.8,-0.8,4.6,1.0
35.0,18.0,3.0,0.93,-7.2,2.2,0.0
40.0,19.0,6.0,0.98,-1.3,5.9,0.0
5.0,20.0,-1.7,0.9,-3.9,-1.9,0.0
39.0,21.0,7.4,0.3,-8.2,-6.9,1.0
18.0,22.0,-4.0,0.2,-9.3,-8.1,0.0
16.0,23.0,-7.1,0.07,-19.6,-18.7,1.0
43.0,24.0,22.9,0.06,9.6,9.2,1.0
46.0,25.0,17.1,0.1,6.9,8.0,0.0
52.0,26.0,3.5,0.09,0.1,0.5,0.0
57.0,27.0,11.5,0.6,3.7,7.9,0.0
27.0,28.0,1.6,0.93,-8.3,1.2,0.0
7.0,29.0,-5.6,0.7,-20.2,-11.7,0.0
23.0,30.0,7.3,0.8,-3.6,5.6,0.0
37.0,31.0,2.1,0.8,-8.4,1.3,0.0
1.0,32.0,-0.3,0.96,-2.1,-0.3,0.0
59.0,33.0,10.1,0.3,4.2,6.0,0.0
24.0,34.0,9.2,0.05,-9.5,-7.5,1.0
55.0,35.0,11.4,0.97,1.9,11.0,0.0
12.0,36.0,-5.4,0.94,-16.8,-6.4,0.0
14.0,37.0,-8.8,0.6,-19.5,-15.5,1.0
21.0,38.0,2.0,0.1,-5.7,-4.6,1.0
29.0,39.0,7.9,0.92,-2.3,7.0,0.0
53.0,40.0,25.7,0.1,8.1,11.5,1.0
8.0,41.0,-0.7,0.1,-6.5,-6.0,0.0
9.0,42.0,-5.7,0.95,-16.3,-6.1,0.0
60.0,43.0,8.0,0.92,0.8,7.7,0.0
3.0,44.0,-6.3,0.3,-15.2,-12.2,1.0
11.0,45.0,-1.2,0.02,-12.3,-12.1,1.0
54.0,46.0,16.5,0.01,6.9,7.0,1.0
42.0,47.0,17.9,0.92,7.2,17.1,0.0
31.0,48.0,6.7,0.95,-1.8,6.4,0.0
33.0,49.0,7.3,0.96,-8.5,6.8,0.0
50.0,50.0,5.8,0.04,2.7,2.8,1.0
10.0,51.0,-1.5,0.92,-6.4,-1.8,0.0
2.0,52.0,-0.9,0.95,-4.2,-1.0,0.0
20.0,53.0,-4.3,0.6,-16.1,-4.5,0.0
56.0,54.0,26.5,0.94,8.3,25.2,0.0
13.0,55.0,-2.0,0.05,-10.4,-9.4,0.0
19.0,56.0,-6.5,0.9,-17.5,-8.4,0.0
48.0,57.0,18.2,0.98,6.9,18.1,0.0
30.0,58.0,3.0,0.91,-7.7,1.4,0.0
15.0,59.0,-8.9,0.08,-26.3,-25.4,1.0
17.0,60.0,-9.7,0.1,-24.7,-23.8,1.0
-12.3,,,,,,
5.0,1.0,-1.7,0.9,-3.9,-1.9,0.0
50.0,2.0,5.8,0.04,2.7,2.8,0.0
53.0,3.0,25.7,0.1,8.1,11.5,0.0
12.0,4.0,-5.4,0.94,-16.8,-6.4,0.0
37.0,5.0,2.1,0.8,-8.4,1.3,1.0
13.0,6.0,-2.0,0.05,-10.4,-9.4,0.0
7.0,7.0,-5.6,0.7,-20.2,-11.7,1.0
14.0,8.0,-8.8,0.6,-19.5,-15.5,1.0
31.0,9.0,6.7,0.95,-1.8,6.4,0.0
1.0,10.0,-0.3,0.96,-2.1,-0.3,0.0
16.0,11.0,-7.1,0.07,-19.6,-18.7,0.0
22.0,12.0,9.6,0.91,-6.4,8.7,1.0
9.0,13.0,-5.7,0.95,-16.3,-6.1,1.0
3.0,14.0,-6.3,0.3,-15.2,-12.2,0.0
42.0,15.0,17.9,0.92,7.2,17.1,1.0
4.0,16.0,-10.0,0.2,-29.2,-25.6,0.0
18.0,17.0,-4.0,0.2,-9.3,-8.1,1.0
25.0,18.0,7.4,0.02,-6.6,-6.4,1.0
10.0,19.0,-1.5,0.92,-6.4,-1.8,0.0
11.0,20.0,-1.2,0.02,-12.3,-12.1,1.0
6.0,21.0,-6.3,0.99,-15.7,-6.4,1.0
40.0,22.0,6.0,0.98,-1.3,5.9,1.0
58.0,23.0,20.8,0.99,8.9,20.7,1.0
55.0,24.0,11.4,0.97,1.9,11.0,1.0
52.0,25.0,3.5,0.09,0.1,0.5,0.0
49.0,26.0,13.4,0.5,3.8,9.9,0.0
38.0,27.0,6.7,0.07,-6.2,-5.1,1.0
54.0,28.0,16.5,0.01,6.9,7.0,1.0
46.0,29.0,17.1,0.1,6.9,8.0,0.0
47.0,30.0,24.3,0.04,9.7,10.6,0.0
23.0,31.0,7.3,0.8,-3.6,5.6,0.0
2.0,32.0,-0.9,0.95,-4.2,-1.0,0.0
27.0,33.0,1.6,0.93,-8.3,1.2,1.0
28.0,34.0,5.9,0.8,-0.8,4.6,0.0
56.0,35.0,26.5,0.94,8.3,25.2,1.0
15.0,36.0,-8.9,0.08,-26.3,-25.4,0.0
32.0,37.0,6.7,0.93,-5.0,5.6,1.0
34.0,38.0,1.3,0.05,-4.3,-4.1,1.0
48.0,39.0,18.2,0.98,6.9,18.1,1.0
17.0,40.0,-9.7,0.1,-24.7,-23.8,1.0
8.0,41.0,-0.7,0.1,-6.5,-6.0,1.0
30.0,42.0,3.0,0.91,-7.7,1.4,1.0
60.0,43.0,8.0,0.92,0.8,7.7,1.0
24.0,44.0,9.2,0.05,-9.5,-7.5,0.0
41.0,45.0,18.8,0.8,7.6,15.5,1.0
44.0,46.0,10.0,0.96,1.7,9.9,0.0
36.0,47.0,5.0,0.08,-9.1,-7.9,0.0
59.0,48.0,10.1,0.3,4.2,6.0,0.0
26.0,49.0,6.4,0.05,-5.3,-4.9,0.0
39.0,50.0,7.4,0.3,-8.2,-6.9,0.0
35.0,51.0,3.0,0.93,-7.2,2.2,1.0
20.0,52.0,-4.3,0.6,-16.1,-4.5,0.0
19.0,53.0,-6.5,0.9,-17.5,-8.4,1.0
45.0,54.0,2.8,0.8,1.0,2.2,1.0
57.0,55.0,11.5,0.6,3.7,7.9,1.0
33.0,56.0,7.3,0.96,-8.5,6.8,1.0
29.0,57.0,7.9,0.92,-2.3,7.0,1.0
21.0,58.0,2.0,0.1,-5.7,-4.6,0.0
43.0,59.0,22.9,0.06,9.6,9.2,0.0
51.0,60.0,13.1,0.94,3.8,12.8,0.0
-6.5,,,,,,
44.0,1.0,10.0,0.96,1.7,9.9,0.0
1.0,2.0,-0.3,0.96,-2.1,-0.3,0.0
4.0,3.0,-10.0,0.2,-29.2,-25.6,1.0
43.0,4.0,22.9,0.06,9.6,9.2,0.0
28.0,5.0,5.9,0.8,-0.8,4.6,0.0
39.0,6.0,7.4,0.3,-8.2,-6.9,1.0
52.0,7.0,3.5,0.09,0.1,0.5,1.0
25.0,8.0,7.4,0.02,-6.6,-6.4,1.0
51.0,9.0,13.1,0.94,3.8,12.8,0.0
36.0,10.0,5.0,0.08,-9.1,-7.9,0.0
40.0,11.0,6.0,0.98,-1.3,5.9,0.0
22.0,12.0,9.6,0.91,-6.4,8.7,0.0
32.0,13.0,6.7,0.93,-5.0,5.6,1.0
14.0,14.0,-8.8,0.6,-19.5,-15.5,1.0
34.0,15.0,1.3,0.05,-4.3,-4.1,1.0
45.0,16.0,2.8,0.8,1.0,2.2,1.0
33.0,17.0,7.3,0.96,-8.5,6.8,0.0
46.0,18.0,17.1,0.1,6.9,8.0,1.0
38.0,19.0,6.7,0.07,-6.2,-5.1,1.0
24.0,20.0,9.2,0.05,-9.5,-7.5,1.0
30.0,21.0,3.0,0.91,-7.7,1.4,1.0
47.0,22.0,24.3,0.04,9.7,10.6,1.0
48.0,23.0,18.2,0.98,6.9,18.1,0.0
49.0,24.0,13.4,0.5,3.8,9.9,0.0
31.0,25.0,6.7,0.95,-1.8,6.4,0.0
21.0,26.0,2.0,0.1,-5.7,-4.6,1.0
13.0,27.0,-2.0,0.05,-10.4,-9.4,1.0
56.0,28.0,26.5,0.94,8.3,25.2,0.0
59.0,29.0,10.1,0.3,4.2,6.0,1.0
27.0,30.0,1.6,0.93,-8.3,1.2,0.0
26.0,31.0,6.4,0.05,-5.3,-4.9,0.0
23.0,32.0,7.3,0.8,-3.6,5.6,0.0
16.0,33.0,-7.1,0.07,-19.6,-18.7,1.0
54.0,34.0,16.5,0.01,6.9,7.0,1.0
17.0,35.0,-9.7,0.1,-24.7,-23.8,1.0
29.0,36.0,7.9,0.92,-2.3,7.0,0.0
7.0,37.0,-5.6,0.7,-20.2,-11.7,0.0
37.0,38.0,2.1,0.8,-8.4,1.3,0.0
55.0,39.0,11.4,0.97,1.9,11.0,0.0
5.0,40.0,-1.7,0.9,-3.9,-1.9,0.0
2.0,41.0,-0.9,0.95,-4.2,-1.0,0.0
3.0,42.0,-6.3,0.3,-15.2,-12.2,1.0
60.0,43.0,8.0,0.92,0.8,7.7,0.0
57.0,44.0,11.5,0.6,3.7,7.9,1.0
42.0,45.0,17.9,0.92,7.2,17.1,0.0
12.0,46.0,-5.4,0.94,-16.8,-6.4,0.0
6.0,47.0,-6.3,0.99,-15.7,-6.4,0.0
9.0,48.0,-5.7,0.95,-16.3,-6.1,0.0
53.0,49.0,25.7,0.1,8.1,11.5,1.0
19.0,50.0,-6.5,0.9,-17.5,-8.4,0.0
15.0,51.0,-8.9,0.08,-26.3,-25.4,1.0
41.0,52.0,18.8,0.8,7.6,15.5,0.0
58.0,53.0,20.8,0.99,8.9,20.7,0.0
20.0,54.0,-4.3,0.6,-16.1,-4.5,0.0
10.0,55.0,-1.5,0.92,-6.4,-1.8,0.0
11.0,56.0,-1.2,0.02,-12.3,-12.1,1.0
18.0,57.0,-4.0,0.2,-9.3,-8.1,1.0
8.0,58.0,-0.7,0.1,-6.5,-6.0,1.0
50.0,59.0,5.8,0.04,2.7,2.8,1.0
35.0,60.0,3.0,0.93,-7.2,2.2,0.0
15.5,,,,,,
19.0,1.0,-6.5,0.9,-17.5,-8.4,1.0
53.0,2.0,25.7,0.1,8.1,11.5,0.0
45.0,3.0,2.8,0.8,1.0,2.2,1.0
48.0,4.0,18.2,0.98,6.9,18.1,0.0
12.0,5.0,-5.4,0.94,-16.8,-6.4,0.0
44.0,6.0,10.0,0.96,1.7,9.9,0.0
24.0,7.0,9.2,0.05,-9.5,-7.5,1.0
32.0,8.0,6.7,0.93,-5.0,5.6,1.0
30.0,9.0,3.0,0.91,-7.7,1.4,1.0
31.0,10.0,6.7,0.95,-1.8,6.4,1.0
21.0,11.0,2.0,0.1,-5.7,-4.6,1.0
29.0,12.0,7.9,0.92,-2.3,7.0,1.0
6.0,13.0,-6.3,0.99,-15.7,-6.4,0.0
3.0,14.0,-6.3,0.3,-15.2,-12.2,1.0
28.0,15.0,5.9,0.8,-0.8,4.6,1.0
40.0,16.0,6.0,0.98,-1.3,5.9,0.0
46.0,17.0,17.1,0.1,6.9,8.0,1.0
57.0,18.0,11.5,0.6,3.7,7.9,0.0
17.0,19.0,-9.7,0.1,-24.7,-23.8,1.0
35.0,20.0,3.0,0.93,-7.2,2.2,1.0
10.0,21.0,-1.5,0.92,-6.4,-1.8,0.0
2.0,22.0,-0.9,0.95,-4.2,-1.0,0.0
14.0,23.0,-8.8,0.6,-19.5,-15.5,1.0
49.0,24.0,13.4,0.5,3.8,9.9,0.0
42.0,25.0,17.9,0.92,7.2,17.1,0.0
41.0,26.0,18.8,0.8,7.6,15.5,0.0
47.0,27.0,24.3,0.04,9.7,10.6,0.0
25.0,28.0,7.4,0.02,-6.6,-6.4,1.0
59.0,29.0,10.1,0.3,4.2,6.0,0.0
15.0,30.0,-8.9,0.08,-26.3,-25.4,1.0
52.0,31.0,3.5,0.09,0.1,0.5,0.0
20.0,32.0,-4.3,0.6,-16.1,-4.5,0.0
34.0,33.0,1.3,0.05,-4.3,-4.1,1.0
13.0,34.0,-2.0,0.05,-10.4,-9.4,0.0
50.0,35.0,5.8,0.04,2.7,2.8,1.0
58.0,36.0,20.8,0.99,8.9,20.7,0.0
39.0,37.0,7.4,0.3,-8.2,-6.9,0.0
8.0,38.0,-0.7,0.1,-6.5,-6.0,1.0
36.0,39.0,5.0,0.08,-9.1,-7.9,0.0
33.0,40.0,7.3,0.96,-8.5,6.8,0.0
18.0,41.0,-4.0,0.2,-9.3,-8.1,0.0
1.0,42.0,-0.3,0.96,-2.1,-0.3,1.0
55.0,43.0,11.4,0.97,1.9,11.0,0.0
37.0,44.0,2.1,0.8,-8.4,1.3,0.0
9.0,45.0,-5.7,0.95,-16.3,-6.1,0.0
51.0,46.0,13.1,0.94,3.8,12.8,0.0
60.0,47.0,8.0,0.92,0.8,7.7,0.0
27.0,48.0,1.6,0.93,-8.3,1.2,0.0
26.0,49.0,6.4,0.05,-5.3,-4.9,1.0
54.0,50.0,16.5,0.01,6.9,7.0,1.0
16.0,51.0,-7.1,0.07,-19.6,-18.7,1.0
23.0,52.0,7.3,0.8,-3.6,5.6,0.0
11.0,53.0,-1.2,0.02,-12.3,-12.1,1.0
4.0,54.0,-10.0,0.2,-29.2,-25.6,1.0
5.0,55.0,-1.7,0.9,-3.9,-1.9,0.0
56.0,56.0,26.5,0.94,8.3,25.2,0.0
22.0,57.0,9.6,0.91,-6.4,8.7,0.0
38.0,58.0,6.7,0.07,-6.2,-5.1,1.0
7.0,59.0,-5.6,0.7,-20.2,-11.7,1.0
43.0,60.0,22.9,0.06,9.6,9.2,1.0
1.3,,,,,,
24.0,1.0,9.2,0.05,-9.5,-7.5,1.0
30.0,2.0,3.0,0.91,-7.7,1.4,1.0
25.0,3.0,7.4,0.02,-6.6,-6.4,1.0
3.0,4.0,-6.3,0.3,-15.2,-12.2,0.0
26.0,5.0,6.4,0.05,-5.3,-4.9,0.0
56.0,6.0,26.5,0.94,8.3,25.2,0.0
37.0,7.0,2.1,0.8,-8.4,1.3,0.0
35.0,8.0,3.0,0.93,-7.2,2.2,1.0
57.0,9.0,11.5,0.6,3.7,7.9,0.0
5.0,10.0,-1.7,0.9,-3.9,-1.9,1.0
8.0,11.0,-0.7,0.1,-6.5,-6.0,1.0
4.0,12.0,-10.0,0.2,-29.2,-25.6,1.0
58.0,13.0,20.8,0.99,8.9,20.7,0.0
33.0,14.0,7.3,0.96,-8.5,6.8,0.0
45.0,15.0,2.8,0.8,1.0,2.2,0.0
23.0,16.0,7.3,0.8,-3.6,5.6,0.0
17.0,17.0,-9.7,0.1,-24.7,-23.8,1.0
21.0,18.0,2.0,0.1,-5.7,-4.6,1.0
43.0,19.0,22.9,0.06,9.6,9.2,0.0
2.0,20.0,-0.9,0.95,-4.2,-1.0,0.0
53.0,21.0,25.7,0.1,8.1,11.5,0.0
6.0,22.0,-6.3,0.99,-15.7,-6.4,0.0
46.0,23.0,17.1,0.1,6.9,8.0,0.0
41.0,24.0,18.8,0.8,7.6,15.5,0.0
14.0,25.0,-8.8,0.6,-19.5,-15.5,0.0
40.0,26.0,6.0,0.98,-1.3,5.9,0.0
47.0,27.0,24.3,0.04,9.7,10.6,0.0
50.0,28.0,5.8,0.04,2.7,2.8,0.0
7.0,29.0,-5.6,0.7,-20.2,-11.7,0.0
52.0,30.0,3.5,0.09,0.1,0.5,0.0
48.0,31.0,18.2,0.98,6.9,18.1,0.0
9.0,32.0,-5.7,0.95,-16.3,-6.1,0.0
44.0,33.0,10.0,0.96,1.7,9.9,0.0
1.0,34.0,-0.3,0.96,-2.1,-0.3,0.0
18.0,35.0,-4.0,0.2,-9.3,-8.1,0.0
51.0,36.0,13.1,0.94,3.8,12.8,0.0
15.0,37.0,-8.9,0.08,-26.3,-25.4,0.0
29.0,38.0,7.9,0.92,-2.3,7.0,0.0
42.0,39.0,17.9,0.92,7.2,17.1,0.0
31.0,40.0,6.7,0.95,-1.8,6.4,0.0
22.0,41.0,9.6,0.91,-6.4,8.7,0.0
34.0,42.0,1.3,0.05,-4.3,-4.1,0.0
38.0,43.0,6.7,0.07,-6.2,-5.1,0.0
16.0,44.0,-7.1,0.07,-19.6,-18.7,0.0
59.0,45.0,10.1,0.3,4.2,6.0,0.0
12.0,46.0,-5.4,0.94,-16.8,-6.4,0.0
19.0,47.0,-6.5,0.9,-17.5,-8.4,0.0
39.0,48.0,7.4,0.3,-8.2,-6.9,0.0
36.0,49.0,5.0,0.08,-9.1,-7.9,0.0
60.0,50.0,8.0,0.92,0.8,7.7,0.0
32.0,51.0,6.7,0.93,-5.0,5.6,0.0
27.0,52.0,1.6,0.93,-8.3,1.2,0.0
20.0,53.0,-4.3,0.6,-16.1,-4.5,0.0
10.0,54.0,-1.5,0.92,-6.4,-1.8,0.0
28.0,55.0,5.9,0.8,-0.8,4.6,0.0
49.0,56.0,13.4,0.5,3.8,9.9,0.0
54.0,57.0,16.5,0.01,6.9,7.0,0.0
11.0,58.0,-1.2,0.02,-12.3,-12.1,0.0
13.0,59.0,-2.0,0.05,-10.4,-9.4,0.0
55.0,60.0,11.4,0.97,1.9,11.0,0.0
3.0,,,,,,
52.0,1.0,3.5,0.09,0.1,0.5,0.0
19.0,2.0,-6.5,0.9,-17.5,-8.4,1.0
30.0,3.0,3.0,0.91,-7.7,1.4,1.0
40.0,4.0,6.0,0.98,-1.3,5.9,0.0
28.0,5.0,5.9,0.8,-0.8,4.6,1.0
20.0,6.0,-4.3,0.6,-16.1,-4.5,1.0
12.0,7.0,-5.4,0.94,-16.8,-6.4,1.0
4.0,8.0,-10.0,0.2,-29.2,-25.6,1.0
22.0,9.0,9.6,0.91,-6.4,8.7,0.0
41.0,10.0,18.8,0.8,7.6,15.5,0.0
50.0,11.0,5.8,0.04,2.7,2.8,1.0
34.0,12.0,1.3,0.05,-4.3,-4.1,1.0
55.0,13.0,11.4,0.97,1.9,11.0,0.0
49.0,14.0,13.4,0.5,3.8,9.9,0.0
15.0,15.0,-8.9,0.08,-26.3,-25.4,1.0
3.0,16.0,-6.3,0.3,-15.2,-12.2,0.0
27.0,17.0,1.6,0.93,-8.3,1.2,0.0
39.0,18.0,7.4,0.3,-8.2,-6.9,1.0
56.0,19.0,26.5,0.94,8.3,25.2,0.0
31.0,20.0,6.7,0.95,-1.8,6.4,0.0
59.0,21.0,10.1,0.3,4.2,6.0,1.0
13.0,22.0,-2.0,0.05,-10.4,-9.4,1.0
23.0,23.0,7.3,0.8,-3.6,5.6,0.0
42.0,24.0,17.9,0.92,7.2,17.1,0.0
54.0,25.0,16.5,0.01,6.9,7.0,1.0
21.0,26.0,2.0,0.1,-5.7,-4.6,1.0
57.0,27.0,11.5,0.6,3.7,7.9,0.0
1.0,28.0,-0.3,0.96,-2.1,-0.3,0.0
51.0,29.0,13.1,0.94,3.8,12.8,0.0
45.0,30.0,2.8,0.8,1.0,2.2,0.0
16.0,31.0,-7.1,0.07,-19.6,-18.7,1.0
29.0,32.0,7.9,0.92,-2.3,7.0,0.0
53.0,33.0,25.7,0.1,8.1,11.5,1.0
58.0,34.0,20.8,0.99,8.9,20.7,0.0
25.0,35.0,7.4,0.02,-6.6,-6.4,1.0
24.0,36.0,9.2,0.05,-9.5,-7.5,1.0
2.0,37.0,-0.9,0.95,-4.2,-1.0,0.0
33.0,38.0,7.3,0.96,-8.5,6.8,0.0
10.0,39.0,-1.5,0.92,-6.4,-1.8,0.0
36.0,40.0,5.0,0.08,-9.1,-7.9,1.0
48.0,41.0,18.2,0.98,6.9,18.1,0.0
18.0,42.0,-4.0,0.2,-9.3,-8.1,1.0
47.0,43.0,24.3,0.04,9.7,10.6,1.0
32.0,44.0,6.7,0.93,-5.0,5.6,0.0
11.0,45.0,-1.2,0.02,-12.3,-12.1,1.0
60.0,46.0,8.0,0.92,0.8,7.7,0.0
37.0,47.0,2.1,0.8,-8.4,1.3,0.0
8.0,48.0,-0.7,0.1,-6.5,-6.0,1.0
17.0,49.0,-9.7,0.1,-24.7,-23.8,1.0
9.0,50.0,-5.7,0.95,-16.3,-6.1,0.0
38.0,51.0,6.7,0.07,-6.2,-5.1,1.0
