Problem,Order,High,Phigh,Low,Medium,Choice
41.0,21.0,20.1,0.95,6.5,19.6,0.0
24.0,22.0,1.0,0.93,-7.1,0.6,0.0
51.0,23.0,19.1,0.03,4.8,5.2,1.0
49.0,24.0,18.9,0.9,6.7,17.7,0.0
18.0,25.0,-1.4,0.93,-4.7,-1.7,0.0
4.0,26.0,-1.4,0.02,-9.1,-9.0,1.0
19.0,27.0,-8.6,0.1,-26.5,-26.3,1.0
20.0,28.0,-6.9,0.06,-20.5,-20.3,1.0
22.0,29.0,9.0,0.97,-6.7,9.1,0.0
42.0,30.0,5.2,0.5,1.4,5.1,0.0
33.0,31.0,7.7,0.02,-3.1,-3.0,1.0
50.0,32.0,12.8,0.04,4.7,4.9,1.0
52.0,33.0,12.3,0.91,1.3,12.1,0.0
53.0,34.0,6.8,0.9,3.0,6.7,1.0
15.0,35.0,-3.3,0.97,-10.5,-3.2,0.0
5.0,36.0,-0.9,0.07,-4.8,-4.7,1.0
16.0,37.0,-9.5,0.1,-24.5,-23.5,1.0
1.0,38.0,-8.7,0.06,-22.8,-21.4,1.0
12.0,39.0,-7.2,0.05,-16.1,-15.6,1.0
10.0,40.0,-2.5,0.6,-5.5,-3.6,1.0
55.0,41.0,6.4,0.09,0.5,1.5,0.0
2.0,42.0,-2.2,0.09,-9.6,-8.7,1.0
23.0,43.0,5.5,0.06,-3.4,-2.6,1.0
3.0,44.0,-2.0,0.1,-11.2,-9.5,0.0
31.0,45.0,0.9,0.2,-5.0,-5.3,1.0
38.0,46.0,7.8,0.99,-9.3,7.6,1.0
40.0,47.0,5.0,0.9,-3.8,4.1,0.0
39.0,48.0,6.5,0.8,-4.8,6.2,0.0
58.0,49.0,21.9,0.5,8.1,12.6,1.0
14.0,50.0,-6.4,0.2,-22.4,-18.0,1.0
28.0,51.0,3.3,0.91,-3.5,2.7,1.0
29.0,52.0,5.0,0.4,-6.9,-3.8,1.0
27.0,53.0,9.4,0.95,-6.3,8.5,1.0
25.0,54.0,3.0,0.2,-1.3,-0.1,0.0
60.0,55.0,4.4,0.2,0.7,1.1,1.0
21.0,56.0,1.8,0.6,-4.1,1.7,0.0
6.0,57.0,-4.7,0.91,-18.1,-6.8,1.0
47.0,58.0,23.4,0.93,7.6,22.1,0.0
35.0,59.0,9.2,0.91,-0.7,8.2,0.0
56.0,60.0,15.3,0.06,5.9,7.1,1.0
12.1,,,,,,
33.0,1.0,7.7,0.02,-3.1,-3.0,1.0
2.0,2.0,-2.2,0.09,-9.6,-8.7,0.0
41.0,3.0,20.1,0.95,6.5,19.6,0.0
32.0,4.0,9.9,0.05,-8.7,-7.6,1.0
50.0,5.0,12.8,0.04,4.7,4.9,1.0
57.0,6.0,5.3,0.9,1.5,4.7,0.0
40.0,7.0,5.0,0.9,-3.8,4.1,1.0
1.0,8.0,-8.7,0.06,-22.8,-21.4,1.0
3.0,9.0,-2.0,0.1,-11.2,-9.5,1.0
21.0,10.0,1.8,0.6,-4.1,1.7,0.0
54.0,11.0,22.6,0.3,9.2,11.0,1.0
15.0,12.0,-3.3,0.97,-10.5,-3.2,0.0
14.0,13.0,-6.4,0.2,-22.4,-18.0,1.0
51.0,14.0,19.1,0.03,4.8,5.2,1.0
28.0,15.0,3.3,0.91,-3.5,2.7,0.0
22.0,16.0,9.0,0.97,-6.7,9.1,0.0
19.0,17.0,-8.6,0.1,-26.5,-26.3,1.0
18.0,18.0,-1.4,0.93,-4.7,-1.7,0.0
23.0,19.0,5.5,0.06,-3.4,-2.6,1.0
60.0,20.0,4.4,0.2,0.7,1.1,1.0
56.0,21.0,15.3,0.06,5.9,7.1,1.0
34.0,22.0,2.5,0.96,-2.0,2.3,0.0
11.0,23.0,-5.8,0.97,-16.4,-6.6,0.0
8.0,24.0,-5.7,0.96,-20.6,-6.4,0.0
42.0,25.0,5.2,0.5,1.4,5.1,0.0
7.0,26.0,-9.7,0.06,-24.8,-24.2,1.0
48.0,27.0,17.2,0.09,5.0,5.9,1.0
20.0,28.0,-6.9,0.06,-20.5,-20.3,1.0
59.0,29.0,27.5,0.7,9.2,21.9,0.0
49.0,30.0,18.9,0.9,6.7,17.7,0.0
9.0,31.0,-5.6,0.1,-19.4,-18.1,1.0
52.0,32.0,12.3,0.91,1.3,12.1,0.0
6.0,33.0,-4.7,0.91,-18.1,-6.8,0.0
27.0,34.0,9.4,0.95,-6.3,8.5,0.0
37.0,35.0,2.9,0.05,-6.5,-5.7,1.0
38.0,36.0,7.8,0.99,-9.3,7.6,0.0
44.0,37.0,20.7,0.9,9.1,19.8,0.0
13.0,38.0,-1.8,0.93,-6.7,-2.0,0.0
30.0,39.0,2.1,0.06,-9.4,-8.4,1.0
53.0,40.0,6.8,0.9,3.0,6.7,0.0
17.0,41.0,-2.2,0.92,-11.5,-3.4,0.0
25.0,42.0,3.0,0.2,-1.3,-0.1,0.0
35.0,43.0,9.2,0.91,-0.7,8.2,0.0
24.0,44.0,1.0,0.93,-7.1,0.6,0.0
16.0,45.0,-9.5,0.1,-24.5,-23.5,1.0
4.0,46.0,-1.4,0.02,-9.1,-9.0,1.0
10.0,47.0,-2.5,0.6,-5.5,-3.6,1.0
29.0,48.0,5.0,0.4,-6.9,-3.8,1.0
26.0,49.0,8.9,0.1,-1.4,-0.9,1.0
5.0,50.0,-0.9,0.07,-4.8,-4.7,1.0
31.0,51.0,0.9,0.2,-5.0,-5.3,1.0
36.0,52.0,2.9,0.98,-9.4,2.9,0.0
46.0,53.0,22.6,0.4,7.2,12.4,0.0
58.0,54.0,21.9,0.5,8.1,12.6,1.0
12.0,55.0,-7.2,0.05,-16.1,-15.6,1.0
55.0,56.0,6.4,0.09,0.5,1.5,1.0
45.0,57.0,8.4,0.07,1.2,1.6,1.0
43.0,58.0,12.0,0.5,2.4,9.0,0.0
39.0,59.0,6.5,0.8,-4.8,6.2,0.0
47.0,60.0,23.4,0.93,7.6,22.1,0.0
2.9,,,,,,
37.0,1.0,2.9,0.05,-6.5,-5.7,0.0
6.0,2.0,-4.7,0.91,-18.1,-6.8,1.0
12.0,3.0,-7.2,0.05,-16.1,-15.6,1.0
40.0,4.0,5.0,0.9,-3.8,4.1,0.0
21.0,5.0,1.8,0.6,-4.1,1.7,0.0
32.0,6.0,9.9,0.05,-8.7,-7.6,1.0
44.0,7.0,20.7,0.9,9.1,19.8,0.0
51.0,8.0,19.1,0.03,4.8,5.2,1.0
10.0,9.0,-2.5,0.6,-5.5,-3.6,0.0
2.0,10.0,-2.2,0.09,-9.6,-8.7,0.0
3.0,11.0,-2.0,0.1,-11.2,-9.5,1.0
15.0,12.0,-3.3,0.97,-10.5,-3.2,0.0
33.0,13.0,7.7,0.02,-3.1,-3.0,1.0
49.0,14.0,18.9,0.9,6.7,17.7,0.0
56.0,15.0,15.3,0.06,5.9,7.1,0.0
16.0,16.0,-9.5,0.1,-24.5,-23.5,1.0
8.0,17.0,-5.7,0.96,-20.6,-6.4,0.0
29.0,18.0,5.0,0.4,-6.9,-3.8,1.0
7.0,19.0,-9.7,0.06,-24.8,-24.2,1.0
9.0,20.0,-5.6,0.1,-19.4,-18.1,1.0
25.0,21.0,3.0,0.2,-1.3,-0.1,1.0
13.0,22.0,-1.8,0.93,-6.7,-2.0,0.0
24.0,23.0,1.0,0.93,-7.1,0.6,0.0
60.0,24.0,4.4,0.2,0.7,1.1,1.0
36.0,25.0,2.9,0.98,-9.4,2.9,0.0
42.0,26.0,5.2,0.5,1.4,5.1,0.0
45.0,27.0,8.4,0.07,1.2,1.6,1.0
27.0,28.0,9.4,0.95,-6.3,8.5,0.0
30.0,29.0,2.1,0.06,-9.4,-8.4,1.0
5.0,30.0,-0.9,0.07,-4.8,-4.7,1.0
55.0,31.0,6.4,0.09,0.5,1.5,1.0
4.0,32.0,-1.4,0.02,-9.1,-9.0,1.0
43.0,33.0,12.0,0.5,2.4,9.0,0.0
17.0,34.0,-2.2,0.92,-11.5,-3.4,0.0
39.0,35.0,6.5,0.8,-4.8,6.2,0.0
34.0,36.0,2.5,0.96,-2.0,2.3,0.0
53.0,37.0,6.8,0.9,3.0,6.7,0.0
41.0,38.0,20.1,0.95,6.5,19.6,0.0
1.0,39.0,-8.7,0.06,-22.8,-21.4,1.0
50.0,40.0,12.8,0.04,4.7,4.9,1.0
18.0,41.0,-1.4,0.93,-4.7,-1.7,0.0
14.0,42.0,-6.4,0.2,-22.4,-18.0,1.0
48.0,43.0,17.2,0.09,5.0,5.9,1.0
58.0,44.0,21.9,0.5,8.1,12.6,0.0
31.0,45.0,0.9,0.2,-5.0,-5.3,1.0
46.0,46.0,22.6,0.4,7.2,12.4,1.0
11.0,47.0,-5.8,0.97,-16.4,-6.6,0.0
28.0,48.0,3.3,0.91,-3.5,2.7,0.0
26.0,49.0,8.9,0.1,-1.4,-0.9,1.0
54.0,50.0,22.6,0.3,9.2,11.0,1.0
57.0,51.0,5.3,0.9,1.5,4.7,0.0
47.0,52.0,23.4,0.93,7.6,22.1,0.0
20.0,53.0,-6.9,0.06,-20.5,-20.3,1.0
22.0,54.0,9.0,0.97,-6.7,9.1,0.0
59.0,55.0,27.5,0.7,9.2,21.9,0.0
19.0,56.0,-8.6,0.1,-26.5,-26.3,1.0
38.0,57.0,7.8,0.99,-9.3,7.6,0.0
52.0,58.0,12.3,0.91,1.3,12.1,0.0
35.0,59.0,9.2,0.91,-0.7,8.2,0.0
23.0,60.0,5.5,0.06,-3.4,-2.6,1.0
-9.1,,,,,,
9.0,1.0,-5.6,0.1,-19.4,-18.1,0.0
48.0,2.0,17.2,0.09,5.0,5.9,0.0
34.0,3.0,2.5,0.96,-2.0,2.3,0.0
27.0,4.0,9.4,0.95,-6.3,8.5,0.0
50.0,5.0,12.8,0.04,4.7,4.9,0.0
12.0,6.0,-7.2,0.05,-16.1,-15.6,1.0
38.0,7.0,7.8,0.99,-9.3,7.6,0.0
25.0,8.0,3.0,0.2,-1.3,-0.1,0.0
4.0,9.0,-1.4,0.02,-9.1,-9.0,1.0
35.0,10.0,9.2,0.91,-0.7,8.2,0.0
11.0,11.0,-5.8,0.97,-16.4,-6.6,0.0
39.0,12.0,6.5,0.8,-4.8,6.2,0.0
56.0,13.0,15.3,0.06,5.9,7.1,0.0
30.0,14.0,2.1,0.06,-9.4,-8.4,0.0
15.0,15.0,-3.3,0.97,-10.5,-3.2,0.0
53.0,16.0,6.8,0.9,3.0,6.7,0.0
31.0,17.0,0.9,0.2,-5.0,-5.3,1.0
8.0,18.0,-5.7,0.96,-20.6,-6.4,0.0
19.0,19.0,-8.6,0.1,-26.5,-26.3,1.0
3.0,20.0,-2.0,0.1,-11.2,-9.5,0.0
45.0,21.0,8.4,0.07,1.2,1.6,1.0
24.0,22.0,1.0,0.93,-7.1,0.6,0.0
16.0,23.0,-9.5,0.1,-24.5,-23.5,1.0
52.0,24.0,12.3,0.91,1.3,12.1,0.0
20.0,25.0,-6.9,0.06,-20.5,-20.3,1.0
18.0,26.0,-1.4,0.93,-4.7,-1.7,0.0
44.0,27.0,20.7,0.9,9.1,19.8,1.0
47.0,28.0,23.4,0.93,7.6,22.1,1.0
55.0,29.0,6.4,0.09,0.5,1.5,0.0
2.0,30.0,-2.2,0.09,-9.6,-8.7,0.0
21.0,31.0,1.8,0.6,-4.1,1.7,0.0
33.0,32.0,7.7,0.02,-3.1,-3.0,1.0
46.0,33.0,22.6,0.4,7.2,12.4,0.0
29.0,34.0,5.0,0.4,-6.9,-3.8,1.0
42.0,35.0,5.2,0.5,1.4,5.1,0.0
41.0,36.0,20.1,0.95,6.5,19.6,0.0
49.0,37.0,18.9,0.9,6.7,17.7,0.0
32.0,38.0,9.9,0.05,-8.7,-7.6,0.0
37.0,39.0,2.9,0.05,-6.5,-5.7,0.0
28.0,40.0,3.3,0.91,-3.5,2.7,0.0
5.0,41.0,-0.9,0.07,-4.8,-4.7,1.0
36.0,42.0,2.9,0.98,-9.4,2.9,0.0
43.0,43.0,12.0,0.5,2.4,9.0,0.0
54.0,44.0,22.6,0.3,9.2,11.0,1.0
14.0,45.0,-6.4,0.2,-22.4,-18.0,0.0
6.0,46.0,-4.7,0.91,-18.1,-6.8,0.0
1.0,47.0,-8.7,0.06,-22.8,-21.4,0.0
22.0,48.0,9.0,0.97,-6.7,9.1,0.0
57.0,49.0,5.3,0.9,1.5,4.7,0.0
17.0,50.0,-2.2,0.92,-11.5,-3.4,0.0
51.0,51.0,19.1,0.03,4.8,5.2,0.0
40.0,52.0,5.0,0.9,-3.8,4.1,0.0
58.0,53.0,21.9,0.5,8.1,12.6,1.0
60.0,54.0,4.4,0.2,0.7,1.1,0.0
10.0,55.0,-2.5,0.6,-5.5,-3.6,1.0
13.0,56.0,-1.8,0.93,-6.7,-2.0,0.0
59.0,57.0,27.5,0.7,9.2,21.9,0.0
23.0,58.0,5.5,0.06,-3.4,-2.6,0.0
7.0,59.0,-9.7,0.06,-24.8,-24.2,1.0
26.0,60.0,8.9,0.1,-1.4,-0.9,0.0
-0.9,,,,,,
24.0,1.0,1.0,0.93,-7.1,0.6,1.0
32.0,2.0,9.9,0.05,-8.7,-7.6,1.0
41.0,3.0,20.1,0.95,6.5,19.6,0.0
60.0,4.0,4.4,0.2,0.7,1.1,1.0
38.0,5.0,7.8,0.99,-9.3,7.6,0.0
3.0,6.0,-2.0,0.1,-11.2,-9.5,0.0
22.0,7.0,9.0,0.97,-6.7,9.1,0.0
42.0,8.0,5.2,0.5,1.4,5.1,0.0
52.0,9.0,12.3,0.91,1.3,12.1,0.0
45.0,10.0,8.4,0.07,1.2,1.6,1.0
2.0,11.0,-2.2,0.09,-9.6,-8.7,0.0
48.0,12.0,17.2,0.09,5.0,5.9,0.0
37.0,13.0,2.9,0.05,-6.5,-5.7,1.0
25.0,14.0,3.0,0.2,-1.3,-0.1,0.0
43.0,15.0,12.0,0.5,2.4,9.0,0.0
20.0,16.0,-6.9,0.06,-20.5,-20.3,1.0
5.0,17.0,-0.9,0.07,-4.8,-4.7,1.0
56.0,18.0,15.3,0.06,5.9,7.1,0.0
36.0,19.0,2.9,0.98,-9.4,2.9,0.0
31.0,20.0,0.9,0.2,-5.0,-5.3,1.0
46.0,21.0,22.6,0.4,7.2,12.4,1.0
7.0,22.0,-9.7,0.06,-24.8,-24.2,1.0
55.0,23.0,6.4,0.09,0.5,1.5,0.0
16.0,24.0,-9.5,0.1,-24.5,-23.5,1.0
33.0,25.0,7.7,0.02,-3.1,-3.0,1.0
49.0,26.0,18.9,0.9,6.7,17.7,0.0
4.0,27.0,-1.4,0.02,-9.1,-9.0,1.0
28.0,28.0,3.3,0.91,-3.5,2.7,0.0
47.0,29.0,23.4,0.93,7.6,22.1,1.0
35.0,30.0,9.2,0.91,-0.7,8.2,1.0
6.0,31.0,-4.7,0.91,-18.1,-6.8,0.0
53.0,32.0,6.8,0.9,3.0,6.7,1.0
13.0,33.0,-1.8,0.93,-6.7,-2.0,0.0
21.0,34.0,1.8,0.6,-4.1,1.7,0.0
34.0,35.0,2.5,0.96,-2.0,2.3,0.0
57.0,36.0,5.3,0.9,1.5,4.7,0.0
19.0,37.0,-8.6,0.1,-26.5,-26.3,1.0
23.0,38.0,5.5,0.06,-3.4,-2.6,0.0
18.0,39.0,-1.4,0.93,-4.7,-1.7,0.0
51.0,40.0,19.1,0.03,4.8,5.2,1.0
11.0,41.0,-5.8,0.97,-16.4,-6.6,0.0
9.0,42.0,-5.6,0.1,-19.4,-18.1,0.0
54.0,43.0,22.6,0.3,9.2,11.0,1.0
14.0,44.0,-6.4,0.2,-22.4,-18.0,0.0
50.0,45.0,12.8,0.04,4.7,4.9,1.0
8.0,46.0,-5.7,0.96,-20.6,-6.4,0.0
29.0,47.0,5.0,0.4,-6.9,-3.8,0.0
15.0,48.0,-3.3,0.97,-10.5,-3.2,0.0
17.0,49.0,-2.2,0.92,-11.5,-3.4,1.0
27.0,50.0,9.4,0.95,-6.3,8.5,0.0
10.0,51.0,-2.5,0.6,-5.5,-3.6,1.0
59.0,52.0,27.5,0.7,9.2,21.9,0.0
44.0,53.0,20.7,0.9,9.1,19.8,0.0
30.0,54.0,2.1,0.06,-9.4,-8.4,0.0
39.0,55.0,6.5,0.8,-4.8,6.2,0.0
40.0,56.0,5.0,0.9,-3.8,4.1,0.0
12.0,57.0,-7.2,0.05,-16.1,-15.6,1.0
26.0,58.0,8.9,0.1,-1.4,-0.9,0.0
1.0,59.0,-8.7,0.06,-22.8,-21.4,0.0
58.0,60.0,21.9,0.5,8.1,12.6,0.0
2.7,,,,,,
36.0,1.0,2.9,0.98,-9.4,2.9,0.0
45.0,2.0,8.4,0.07,1.2,1.6,1.0
9.0,3.0,-5.6,0.1,-19.4,-18.1,1.0
60.0,4.0,4.4,0.2,0.7,1.1,0.0
15.0,5.0,-3.3,0.97,-10.5,-3.2,0.0
32.0,6.0,9.9,0.05,-8.7,-7.6,1.0
44.0,7.0,20.7,0.9,9.1,19.8,0.0
55.0,8.0,6.4,0.09,0.5,1.5,1.0
53.0,9.0,6.8,0.9,3.0,6.7,0.0
58.0,10.0,21.9,0.5,8.1,12.6,1.0
50.0,11.0,12.8,0.04,4.7,4.9,1.0
6.0,12.0,-4.7,0.91,-18.1,-6.8,1.0
18.0,13.0,-1.4,0.93,-4.7,-1.7,0.0
8.0,14.0,-5.7,0.96,-20.6,-6.4,0.0
42.0,15.0,5.2,0.5,1.4,5.1,0.0
11.0,16.0,-5.8,0.97,-16.4,-6.6,0.0
27.0,17.0,9.4,0.95,-6.3,8.5,0.0
3.0,18.0,-2.0,0.1,-11.2,-9.5,1.0
17.0,19.0,-2.2,0.92,-11.5,-3.4,0.0
19.0,20.0,-8.6,0.1,-26.5,-26.3,0.0
43.0,21.0,12.0,0.5,2.4,9.0,0.0
24.0,22.0,1.0,0.93,-7.1,0.6,0.0
59.0,23.0,27.5,0.7,9.2,21.9,0.0
49.0,24.0,18.9,0.9,6.7,17.7,1.0
5.0,25.0,-0.9,0.07,-4.8,-4.7,1.0
1.0,26.0,-8.7,0.06,-22.8,-21.4,0.0
39.0,27.0,6.5,0.8,-4.8,6.2,0.0
35.0,28.0,9.2,0.91,-0.7,8.2,0.0
21.0,29.0,1.8,0.6,-4.1,1.7,0.0
13.0,30.0,-1.8,0.93,-6.7,-2.0,0.0
26.0,31.0,8.9,0.1,-1.4,-0.9,0.0
56.0,32.0,15.3,0.06,5.9,7.1,1.0
57.0,33.0,5.3,0.9,1.5,4.7,1.0
22.0,34.0,9.0,0.97,-6.7,9.1,0.0
37.0,35.0,2.9,0.05,-6.5,-5.7,0.0
51.0,36.0,19.1,0.03,4.8,5.2,1.0
46.0,37.0,22.6,0.4,7.2,12.4,1.0
23.0,38.0,5.5,0.06,-3.4,-2.6,0.0
34.0,39.0,2.5,0.96,-2.0,2.3,0.0
4.0,40.0,-1.4,0.02,-9.1,-9.0,0.0
10.0,41.0,-2.5,0.6,-5.5,-3.6,0.0
7.0,42.0,-9.7,0.06,-24.8,-24.2,1.0
28.0,43.0,3.3,0.91,-3.5,2.7,0.0
29.0,44.0,5.0,0.4,-6.9,-3.8,0.0
33.0,45.0,7.7,0.02,-3.1,-3.0,1.0
40.0,46.0,5.0,0.9,-3.8,4.1,0.0
31.0,47.0,0.9,0.2,-5.0,-5.3,1.0
30.0,48.0,2.1,0.06,-9.4,-8.4,1.0
48.0,49.0,17.2,0.09,5.0,5.9,1.0
47.0,50.0,23.4,0.93,7.6,22.1,0.0
12.0,51.0,-7.2,0.05,-16.1,-15.6,1.0
20.0,52.0,-6.9,0.06,-20.5,-20.3,1.0
16.0,53.0,-9.5,0.1,-24.5,-23.5,1.0
52.0,54.0,12.3,0.91,1.3,12.1,0.0
54.0,55.0,22.6,0.3,9.2,11.0,1.0
2.0,56.0,-2.2,0.09,-9.6,-8.7,1.0
38.0,57.0,7.8,0.99,-9.3,7.6,0.0
41.0,58.0,20.1,0.95,6.5,19.6,0.0
25.0,59.0,3.0,0.2,-1.3,-0.1,1.0
14.0,60.0,-6.4,0.2,-22.4,-18.0,1.0
12.1,,,,,,
46.0,1.0,22.6,0.4,7.2,12.4,1.0
60.0,2.0,4.4,0.2,0.7,1.1,0.0
33.0,3.0,7.7,0.02,-3.1,-3.0,1.0
41.0,4.0,20.1,0.95,6.5,19.6,1.0
47.0,5.0,23.4,0.93,7.6,22.1,1.0
53.0,6.0,6.8,0.9,3.0,6.7,1.0
14.0,7.0,-6.4,0.2,-22.4,-18.0,1.0
43.0,8.0,12.0,0.5,2.4,9.0,0.0
30.0,9.0,2.1,0.06,-9.4,-8.4,1.0
48.0,10.0,17.2,0.09,5.0,5.9,1.0
6.0,11.0,-4.7,0.91,-18.1,-6.8,1.0
39.0,12.0,6.5,0.8,-4.8,6.2,0.0
15.0,13.0,-3.3,0.97,-10.5,-3.2,1.0
37.0,14.0,2.9,0.05,-6.5,-5.7,1.0
51.0,15.0,19.1,0.03,4.8,5.2,1.0
26.0,16.0,8.9,0.1,-1.4,-0.9,1.0
36.0,17.0,2.9,0.98,-9.4,2.9,0.0
3.0,18.0,-2.0,0.1,-11.2,-9.5,0.0
4.0,19.0,-1.4,0.02,-9.1,-9.0,1.0
21.0,20.0,1.8,0.6,-4.1,1.7,0.0
29.0,21.0,5.0,0.4,-6.9,-3.8,1.0
27.0,22.0,9.4,0.95,-6.3,8.5,1.0
7.0,23.0,-9.7,0.06,-24.8,-24.2,1.0
42.0,24.0,5.2,0.5,1.4,5.1,0.0
1.0,25.0,-8.7,0.06,-22.8,-21.4,1.0
24.0,26.0,1.0,0.93,-7.1,0.6,0.0
23.0,27.0,5.5,0.06,-3.4,-2.6,1.0
13.0,28.0,-1.8,0.93,-6.7,-2.0,1.0
28.0,29.0,3.3,0.91,-3.5,2.7,1.0
22.0,30.0,9.0,0.97,-6.7,9.1,0.0
58.0,31.0,21.9,0.5,8.1,12.6,1.0
2.0,32.0,-2.2,0.09,-9.6,-8.7,1.0
9.0,33.0,-5.6,0.1,-19.4,-18.1,1.0
56.0,34.0,15.3,0.06,5.9,7.1,0.0
25.0,35.0,3.0,0.2,-1.3,-0.1,0.0
38.0,36.0,7.8,0.99,-9.3,7.6,0.0
57.0,37.0,5.3,0.9,1.5,4.7,1.0
32.0,38.0,9.9,0.05,-8.7,-7.6,1.0
16.0,39.0,-9.5,0.1,-24.5,-23.5,1.0
19.0,40.0,-8.6,0.1,-26.5,-26.3,1.0
50.0,41.0,12.8,0.04,4.7,4.9,1.0
20.0,42.0,-6.9,0.06,-20.5,-20.3,1.0
11.0,43.0,-5.8,0.97,-16.4,-6.6,1.0
45.0,44.0,8.4,0.07,1.2,1.6,1.0
52.0,45.0,12.3,0.91,1.3,12.1,0.0
17.0,46.0,-2.2,0.92,-11.5,-3.4,0.0
10.0,47.0,-2.5,0.6,-5.5,-3.6,1.0
18.0,48.0,-1.4,0.93,-4.7,-1.7,1.0
8.0,49.0,-5.7,0.96,-20.6,-6.4,0.0
12.0,50.0,-7.2,0.05,-16.1,-15.6,1.0
